Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
Fujitsu,1,4U,12079,34500,31000,27700,24100,20700,17300,13800,10400,690526,343507,243,218,192,167,152,139,127,113,96.9,82,41.7,14183,14202,14404,14439,13668,12421,10873,9252,7125,4188,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,12828,102000,92300,82100,71800,61500,51300,41000,30700,20500,10300,733,631,549,483,430,382,334,294,254,211,94.9,13980,14629,14943,14876,14292,13444,12248,10472,8071,4854,112,4,28,Intel Xeon Platinum 8176M,24 x 8192 MB,Standard power supply part of base unit S26361-K1587-V10,160
Fujitsu,1,2U,1208,104000,93800,83500,73000,62600,52100,41800,31300,20900,10400,773,674,579,508,455,409,368,329,290,248,146,13487,13930,14423,14368,13765,12743,11341,9523,7215,4204,112,4,28,Intel Xeon Platinum 8176M,24 x 8192 MB,Standard power supply part of base unit S26361-K1587-V10,160
Fujitsu,1,2U,11886,105000,95000,84300,73900,63300,52700,42100,31700,21100,10600,785,687,590,522,467,419,376,336,295,253,148,13415,13818,14287,14145,13560,12574,11211,9423,7141,4176,112,4,28,Intel Xeon Platinum 8176M,24 x 8192 MB,Standard power supply part of base unit S26361-K1587-V10,160
Fujitsu,1,2U,12979,112000,101000,89400,78300,67200,56000,44700,33600,22400,11200,808,668,581,512,453,402,359,320,280,237,120,13815,15088,15393,15298,14849,13915,12459,10491,7981,4732,112,4,28,Intel Xeon Platinum 8280L 2.70 GHz,24 x 16384 MB,Standard power supply part of base unit S26361-K1657-V30,160
Fujitsu,1,2U,11444,94300,85100,75700,66200,56800,47300,37900,28400,18900,940508,710,647,572,501,442,390,348,311,274,235,113,13291,13151,13239,13206,12843,12103,10891,9134,6894,3994,112,4,28,Intel Xeon Platinum 8276L 2.20 GHz,24 x 16384 MB,Standard power supply part of base unit S26361-K1587-V20,160
Fujitsu,1,Tower,7535,508794,464610,401218,357316,305878,253982,203829,152176,101674,51444,60,57.4,46.8,40.7,34.7,29.6,26.5,23.4,21.1,18.3,13.3,8476,8101,8580,8772,8821,8570,7690,6499,4822,2818,4,1,4,Intel Xeon E3-1275Lv3,2 x 8192 MB,Fujitsu Technology Solutions S26113-E565-V70-01,250
Fujitsu,1,Tower,8944,478512,429767,383866,333825,289162,238762,191219,143580,94862,48106,44.7,40.2,35.8,31.4,28.1,25,22.6,20.4,18.4,16,11.6,10713,10692,10722,10622,10303,9536,8458,7032,5163,302,4,1,4,Intel Xeon E3-1260L v5,2 x 8192 MB,Fujitsu Technology Solutions S26113-E564-V71-01,250
Fujitsu,1,Tower,10427,591742,534498,474350,417545,356872,296352,237875,178292,118311,59729,51.8,47.9,40.9,34.6,29.5,25.5,22.5,19.9,17.2,14,9.33,11421,11154,11606,12070,12103,11629,10576,8958,6862,4254,4,1,4,Intel Xeon E3-1230 v6,2 x 8192 MB,Standard power supply part of base unit S26361-K1591-V201,250
Fujitsu,1,Tower,11089,695687,622632,555470,484278,418655,345565,277162,207569,139347,69264,61.8,49.8,42.8,36.8,32.3,27.9,24.4,21.4,18.9,16.2,11.7,11254,12501,12967,13163,12972,12375,11348,9685,7377,4277,6,1,6,Intel Xeon E-2176G,2 x 8192 MB,Standard power supply part of base unit S26361-K1638-V201,250
Fujitsu,1,Tower,9435,655699,589566,522263,455895,391846,325677,260292,196623,130916,65014,71.7,60.6,50,41.9,35.5,30,25.5,21.8,18.4,15.5,10,9148,9723,10440,10890,11050,10863,10211,9023,7096,4192,6,1,6,Intel Xeon E-2176G,2 x 8192 MB,Standard power supply part of base unit S26361-K1638-V201,250
Fujitsu,1,Tower,12364,797225,712828,635321,555428,47770,395875,317519,237991,159095,79687,56,48.1,42.5,37.7,33.6,29.6,26.1,23.5,21.2,18.8,16.3,14229,14834,14935,14746,14230,13374,12151,10132,7519,4237,8,1,8,Intel Xeon E-2288G,2 x 8192 MB,S26113-F575-E13,450
Fujitsu,1,Tower,8187,484122,435666,386466,338638,289910,242418,191117,145498,96975,48224,47.2,43.9,39.2,34.7,30.5,27,24.2,22.3,20.6,19.3,16.1,10267,9929,9856,9753,9513,8994,7912,6516,4718,2503,4,1,4,Intel Xeon E3-1240L v5,2 x 8192 MB,Standard power supply part of base unit S26361-K1552-V101,30
Fujitsu,1,Tower,100,587425,528569,472606,412459,351668,29210,234210,176891,117089,58469,51.2,47.1,41,34.8,29.7,26.1,23.4,21.4,19.4,16.7,12.4,11481,11230,11532,11851,11823,11175,1001,8273,6050,350,4,1,4,Intel Xeon E3-1230 v6,2 x 8192 MB,Standard power supply part of base unit S26361-K1601-V101,30
Fujitsu,1,Tower,12631,776812,705646,628060,556871,469204,389284,312897,235087,157397,77883,53.2,46.6,41.3,37.1,32.2,28.5,25.1,22.4,20.3,18.6,15.9,14594,15148,15214,15023,14552,13666,12479,10498,7771,4182,8,1,8,Intel Xeon E-2288G,2 x 8192 MB,Standard power supply part of base unit S26361-K1639-V101,30
Fujitsu,1,Tower,9031,652874,585813,523155,455777,388815,326150,258442,196481,13085,64384,72.9,61.4,51,42.6,35.8,30.8,26.3,22.8,20,18.2,14.9,8960,9544,10262,10697,10853,10604,9843,8616,6498,3539,6,1,6,Intel Xeon E-2176G,2 x 8192 MB,Standard power supply part of base unit S26361-K1639-V101,30
Fujitsu,1,Tower,11901,45100,40600,36000,31600,27000,22600,18000,13500,902810,451236,342,301,251,219,195,177,160,145,128,110,54.8,13184,13479,14325,14409,13825,12771,11241,9359,7052,4107,48,2,24,Intel Xeon Gold 6252 Processor,12 x 8192 MB,Fujitsu Technology Solutions S26113-F574-E13,80
Fujitsu,1,Tower,10685,32500,29300,26000,22800,19500,16200,13000,975794,648012,324198,264,240,214,185,161,144,129,114,99.4,84.3,40,12333,12196,12193,12306,12132,11293,1068,8555,6519,3846,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,Tower,12065,34400,31100,27600,24100,20700,17200,13800,10300,694746,343770,241,219,192,168,151,139,127,112,97.7,82.2,41.8,14272,14201,14334,14353,13668,12413,10844,9207,7113,4182,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
GIGA-BYTE TECHNOLOGY CO. LTD.,1,1U,11207,45100,40800,36200,31700,27100,22600,18100,13600,905590,451980,296,277,256,230,209,195,182,171,159,150,95.5,15232,14701,14174,13781,12959,11618,9919,7984,5712,308,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8 GB,DELTA DPS-850AB-3 A,850
